Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Arian Foster,HOU,RB,16,0,0,0,1616,16,66,604,2,2,20.4,326
2,Michael Vick,PHI,QB,12,3018,21,6,676,9,0,0,0,3,25.9,310.32
3,Aaron Rodgers,GB,QB,15,3922,28,11,356,4,0,0,0,1,20.3,304.48
4,Tom Brady,NE,QB,16,3900,36,4,30,1,0,0,0,1,18.7,299
5,Peyton Manning,IND,QB,16,4700,33,17,18,0,0,0,0,1,17.9,285.8
6,Philip Rivers,LAC,QB,16,4710,30,13,52,0,0,0,0,4,17.6,281.6
7,Drew Brees,NO,QB,16,4620,33,22,-3,0,1,7,0,2,16.8,269.2
8,Josh Freeman,TB,QB,16,3451,25,6,364,0,0,0,0,3,16.2,258.44
9,Matt Ryan,ATL,QB,16,3705,28,9,122,0,0,0,0,3,15.8,252.4
10,Matt Schaub,HOU,QB,16,4369,24,12,28,0,0,0,0,3,15.3,245.56
11,Adrian Peterson,MIN,RB,15,0,0,0,1298,12,36,341,1,1,16,239.9
12,Jamaal Charles,KC,RB,16,0,0,0,1467,5,45,468,3,2,14.8,237.5
13,Peyton Hillis,CLE,RB,16,13,0,0,1177,11,61,477,2,5,14.6,233.92
14,Joe Flacco,BAL,QB,16,3622,25,10,84,1,0,0,0,4,14.5,231.28
15,Eli Manning,NYG,QB,16,4002,31,25,70,0,0,0,0,5,14.4,231.08
16,Matt Cassel,KC,QB,15,3116,27,7,125,0,0,0,0,1,15.3,229.14
17,Chris Johnson,TEN,RB,16,0,0,0,1364,11,44,245,1,2,14.3,228.9
18,Carson Palmer,CIN,QB,16,3970,26,20,50,0,0,0,0,3,14,223.8
19,David Garrard,JAX,QB,14,2734,23,15,279,5,0,0,0,4,15.8,221.26
20,Darren McFadden,OAK,RB,13,0,0,0,1157,7,47,507,3,3,17,220.4
21,LeSean McCoy,PHI,RB,15,0,0,0,1080,7,78,592,2,1,14.6,219.2
22,Rashard Mendenhall,PIT,RB,16,0,0,0,1274,13,23,167,0,2,13.6,218.1
23,Ray Rice,BAL,RB,16,0,0,0,1223,5,63,556,1,0,13.4,213.9
24,Matt Forte,CHI,RB,16,0,0,0,1069,6,51,547,3,2,13.4,213.6
24,Michael Turner,ATL,RB,16,0,0,0,1371,12,12,85,0,2,13.4,213.6
26,Ben Roethlisberger,PIT,QB,12,3200,17,5,176,2,0,0,0,2,17.6,211.6
27,Jay Cutler,CHI,QB,15,3274,23,16,232,1,0,0,0,6,14,210.16
28,Kyle Orton,DEN,QB,13,3652,20,9,98,0,0,0,0,4,16.1,209.88
29,Brandon Lloyd,DEN,WR,16,0,0,0,-18,0,77,1448,11,0,13.1,209
30,Dwayne Bowe,KC,WR,16,0,0,0,4,0,72,1162,15,0,12.9,206.6
31,Mark Sanchez,NYJ,QB,16,3291,17,13,105,3,0,0,0,1,12.6,202.14
32,Roddy White,ATL,WR,16,0,0,0,3,0,115,1389,10,1,12.6,201.2
33,Maurice Jones-Drew,JAX,RB,14,0,0,1,1324,5,34,317,2,2,14.3,200.1
34,Ryan Fitzpatrick,BUF,QB,13,3000,23,15,271,0,0,0,0,5,15.3,199.1
35,Greg Jennings,GB,WR,16,0,0,0,-1,0,76,1265,12,0,12.4,198.4
36,Steven Jackson,LAR,RB,16,0,0,0,1241,6,46,383,0,1,12.3,196.4
37,Ahmad Bradshaw,NYG,RB,16,0,0,0,1235,8,47,314,0,6,12.1,192.9
38,Sam Bradford,LAR,QB,16,3512,18,15,63,1,0,0,0,2,11.9,190.78
39,Mike Wallace,PIT,WR,16,0,0,0,39,0,60,1257,10,0,11.8,189.6
40,Calvin Johnson,DET,WR,15,0,0,0,32,0,77,1120,12,0,12.6,189.2
41,BenJarvus Green-Ellis,NE,RB,16,0,0,0,1008,13,12,85,0,0,11.7,187.3
42,Donovan McNabb,WAS,QB,13,3377,14,15,151,0,0,0,0,1,13.4,174.18
43,Hakeem Nicks,NYG,WR,13,0,0,0,0,0,79,1052,11,0,13.2,171.2
44,Andre Johnson,HOU,WR,13,0,0,0,10,0,86,1216,8,0,13.1,170.6
45,Reggie Wayne,IND,WR,16,0,0,0,0,0,111,1355,6,1,10.6,169.5
46,Cedric Benson,CIN,RB,16,0,0,0,1111,7,28,178,1,5,10.6,168.9
47,Steve Johnson,BUF,WR,16,0,0,0,0,0,82,1073,10,1,10.3,165.3
48,LaDainian Tomlinson,NYJ,RB,15,0,0,0,914,6,52,368,0,0,10.9,164.2
49,Shaun Hill,DET,QB,11,2686,16,12,123,0,0,0,0,1,14.5,159.74
50,Miles Austin,DAL,WR,16,0,0,0,93,1,69,1041,7,1,10,159.4
51,Knowshon Moreno,DEN,RB,13,0,0,0,779,5,37,372,3,2,12.2,159.1
52,Jeremy Maclin,PHI,WR,16,0,0,0,36,0,70,964,10,1,9.9,158
